Ancestor ID|PRIMARY County|Secondary County|Title|First Name|Nickname|Middle Name|Maiden Name|Surname|Suffix|Year Settled|Spouse|FIRST ADDED|2013|2014|2015|2016|2017|2018|2019|Total Applicants Using This Ancestor
anc00127|Clark|||Thomas||||Carr||||2016|0|0|0|1|0|0|0|1
anc00128|Clark|||Hannah|||Coombs|Carr||||2016|0|0|0|1|0|0|0|1
anc00129|Clark|||Thomas||||McCosky||||2016|0|0|0|1|0|0|0|1
anc00130|Clark|||Julia|||Carr|McCosky||||2016|0|0|0|1|0|0|0|1
anc00131|Clark|||Samuel||Houston||Rodgers||||2016|0|0|0|1|0|0|0|1
anc00132|Clark|||Martha|Patsy||Brewer|Rodgers||||2016|0|0|0|1|0|0|0|1
anc00133|Clark|||Martha|||Rodgers|Amick||||2016|0|0|0|1|0|0|0|1
anc00134|Clark|||Ebenezer||||Morgan||||2016|0|0|0|3|0|0|0|3
anc00135|Clark|||Mary|Polly||Woodward|Morgan||||2016|0|0|0|3|0|0|0|3
anc00136|Clark|||Sylvester||Prickett||Morgan||||2016|0|0|0|3|0|0|0|3
anc00137|Clark|||Sarah||B.||Morgan||||2016|0|0|0|3|0|0|0|3
anc00138|Clark|||Virginia|||Morgan|Wilbur||||2016|0|0|0|3|0|0|0|3
anc00139|Clark|||Henry||||Ashabranner||||2016|0|0|0|1|1|0|0|2
anc00140|Clark|||Samuel||||McClanahan||||2016|0|0|0|1|0|0|0|1
anc00141|Clark|||John||||Fry||||2016|0|0|0|1|0|0|0|1
anc00142|Clark|||Sarah||Eliza|Swartz|Fry||||2016|0|0|0|1|0|0|0|1
anc00143|Clark|||Martha||Ann|Fry|McCulloch||||2016|0|0|0|1|0|0|0|1
anc00144|Clark|||Hugh||||McCulloch||||2016|0|0|0|1|0|0|0|1
anc00145|Clark|||James||||McCulloch||||2016|0|0|0|1|0|0|0|1
anc00146|Clark|||Catherine|||Graham|McCulloch||||2016|0|0|0|1|0|0|0|1
anc00147|Clark|||John||||Swartz||||2016|0|0|0|1|1|0|0|2
anc00148|Clark|||Elizabeth|||Olweiler|Swartz||||2016|0|0|0|1|0|1|0|2
anc00149|Clark|||Cornelius||||Bottorff||||2016|0|0|0|1|0|0|0|1
anc00150|Clark|||Robert|Black Hawk|||Stewart||||2016|0|0|0|2|1|0|0|3
anc00151|Clark|||James||||Worrall||||2016|0|0|0|1|0|0|0|1
anc00152|Clark|||Richard||||Pile||||2016|0|0|0|1|0|0|0|1
anc00153|Clark|||Jonathan||||Forward||||2016|0|0|0|1|0|0|0|1
anc00154|Clark|||Elizabeth|||Long|Forward||||2016|0|0|0|1|0|0|0|1
anc00155|Clark|||Christian||||King||||2016|0|0|0|1|0|0|0|1
anc00156|Clark|||Rachel|||Cunningham|King||||2016|0|0|0|1|0|0|0|1
anc00157|Harrison|||George||W.||Benton||||2016|0|0|0|1|0|0|0|1
anc00158|Harrison|||George||||Best||||2016|0|0|0|1|0|0|0|1
anc00159|Harrison|||John||A.||Best||||2016|0|0|0|1|0|0|0|1
anc00160|Harrison|||Frederick||||Blume||||2016|0|0|0|1|0|0|0|1
anc00161|Harrison|||Rebecca|||Hains|Dean||||2016|0|0|0|1|0|0|0|1
anc00162|Harrison|||Benjamin||||Hains||||2016|0|0|0|1|0|0|0|1
anc00163|Harrison|||Ezekial||||DeWeese||||2016|0|0|0|2|0|0|0|2
anc00164|Harrison|||Robert||||Kirkham||||2016|0|0|0|2|0|0|0|2
anc00165|Harrison|||Margaret|||McKenzie|McRae||||2016|0|0|0|2|0|0|0|2
anc00166|Harrison|||Jacob||||Kessinger||||2016|0|0|0|3|0|0|0|3
anc00167|Harrison|||Isaac||||Lang||||2016|0|0|0|1|0|0|0|1
anc00168|Harrison|||James||A.||Albin||||2016|0|0|0|1|0|0|0|1
anc00169|Harrison|||Jane|||Blunk|Farnsley||||2016|0|0|0|1|0|0|0|1
anc00170|Harrison|||Alexander||||McRae||||2016|0|0|0|1|0|0|0|1
anc00171|Harrison|||Elizabeth|||English|Pennington||||2016|0|0|0|1|0|0|0|1
anc00172|Harrison|||Philip||Peter||Sonner||||2016|0|0|0|2|1|2|1|6
anc00173|Clark|||Moody||||Dustin||||2017|0|0|0|0|1|0|0|1
anc00174|Harrison|||Cornelius||||Dewey||||2017|0|0|0|0|1|0|0|1
anc00175|Harrison|||Henry||||Stonecipher||||2017|0|0|0|0|7|1|0|8
anc00176|Clark|||Sarah|||Kyser|Ashabranner||||2017|0|0|0|0|1|0|0|1
anc00177|Clark|||Joseph||||Ashabranner||||2017|0|0|0|0|1|0|0|1
anc00178|Clark|||Elizabeth||Ann|Gullett|Ashabranner||||2017|0|0|0|0|1|0|0|1
anc00179|Harrison|||Anthony||Daniel||Trout||||2017|0|0|0|0|1|0|0|1
anc00180|Floyd|||James||Butler||Moore||||2017|0|0|0|0|7|0|0|7
anc00181|Harrison|||Adam||||Glaze||||2017|0|0|0|0|3|0|0|3
anc00182|Clark|||Simon||||Akers||||2017|0|0|0|0|1|0|0|1
anc00183|Clark|||George||||Huckleberry|Sr.|||2017|0|0|0|0|3|0|0|3
anc00184|Clark|||Jacob||||Huckleberry||||2017|0|0|0|0|3|0|0|3
anc00185|Clark|||Winnifred|||Allen|Huckleberry||||2017|0|0|0|0|3|0|0|3
anc00186|Clark|||Daniel||||Huckleberry||||2017|0|0|0|0|3|0|0|3
anc00187|Clark|||Elizabeth|||Street|Huckleberry||||2017|0|0|0|0|3|0|0|3
anc00188|Floyd|||John||||Grosshart||||2017|0|0|0|0|1|0|0|1
anc00189|Floyd|||Catherine|||Cottingham|Grosshart||||2017|0|0|0|0|1|0|0|1
anc00190|Harrison|||James||||Bruce|Jr.|||2017|0|0|0|0|1|0|0|1
anc00191|Harrison|||Adam||||Rosenberger||||2017|0|0|0|0|2|0|0|2
anc00192|Harrison|||James||||Bean||||2017|0|0|0|0|1|1|0|2
anc00193|Floyd|||Jacob||||Fisher||||2017|0|0|0|0|4|0|0|4
anc00194|Floyd|||Barbara|||Keller|Boldt||||2017|0|0|0|0|2|0|0|2
anc00195|Clark|||Jeremiah||||Jacobs||||2017|0|0|0|0|1|1|3|5
anc00196|Clark|||John||||Lentz||||2017|0|0|0|0|1|0|0|1
anc00197|Clark|||Isaac||||Holman||||2017|0|0|0|0|1|0|0|1
anc00198|Clark|||Elisha||H.||Rose||||2017|0|0|0|0|1|0|0|1
anc00199|Harrison|||Samuel||Nelson||Matheny||||2017|0|0|0|0|1|0|0|1
anc00200|Clark|||Aaron||||Applegate||||2017|0|0|0|0|1|0|0|1
anc00201|Harrison|||Anna|Nancy||VanWinkle|Frakes||||2017|0|0|0|0|1|0|0|1
anc00202|Harrison|||John||||Frakes||||2017|0|0|0|0|1|0|0|1
anc00203|Harrison|||Elizabeth|||Timberlake|Frakes||||2017|0|0|0|0|1|0|0|1
anc00204|Harrison|||Peter||||Frakes||||2017|0|0|0|0|1|0|0|1
anc00205|Harrison|||John||||Schlotterback||||2017|0|0|0|0|1|0|0|1
anc00206|Harrison|||Elizabeth|||Hartman|Schlotterback||||2017|0|0|0|0|1|0|0|1
anc00207|Harrison|||Thomas||||Avery||||2017|0|0|0|0|1|0|0|1
anc00208|Harrison|||Margaret|||Buck|Avery||||2017|0|0|0|0|1|0|0|1
anc00209|Harrison|||James||||Fritts||||2017|0|0|0|0|1|0|0|1
anc00210|Harrison|||Joseph||L.||Dewees||||2017|0|0|0|0|1|0|0|1
anc00211|Harrison|||Joseph||||Miller||||2017|0|0|0|0|1|0|0|1
anc00212|Clark|||Coonrod||||Byerly||||2017|0|0|0|0|1|0|0|1
anc00213|Clark|||Enos||||Curtis||||2018|0|0|0|0|0|1|0|1
anc00214|Clark|||Edward||||Goodwin||||2018|0|0|0|0|0|3|3|6
anc00215|Clark|||Daniel||||Guernsey||||2018|0|0|0|0|0|1|0|1
anc00216|Clark|||Burk||||Jones||||2018|0|0|0|0|0|3|0|3
anc00217|Clark|||Chester||Hilton||Jones||||2018|0|0|0|0|0|3|0|3
anc00218|Clark|||Frances|||Thompson|Jones||||2018|0|0|0|0|0|3|0|3
anc00219|Clark|||Joseph||||Jones||||2018|0|0|0|0|0|3|0|3
anc00220|Clark|||Nancy||Ann|Briscoe|Jones||||2018|0|0|0|0|0|3|0|3
anc00221|Clark|||Elizabeth|||Taylor|Millhollan|||MILLHOLLAN, James |2018|0|0|0|0|0|1|0|1
anc00222|Clark|||James||||Millhollan|||MILLHOLLAN, Elizabeth (Taylor) |2018|0|0|0|0|0|1|0|1
anc00223|Clark|||George||||Scott||||2018|0|0|0|0|0|1|0|1
anc00224|Clark|||James||||Walker||||2018|0|0|0|0|0|1|0|1
anc00225|Clark|||Charles||||Wilber||||2018|0|0|0|0|0|3|0|3
anc00226|Clark|||Gilbert||Garrett||Wilber||||2018|0|0|0|0|0|3|0|3
anc00227|Clark|||Mary|||Scidmore|Wilber||||2018|0|0|0|0|0|3|0|3
anc00228|Floyd|||Robert||||Brown||||2018|0|0|0|0|0|3|0|3
anc00229|Floyd|||John||||Clark||||2018|0|0|0|0|0|2|0|2
anc00230|Floyd|||Frances|||McCutchan|McCutchan||||2018|0|0|0|0|0|1|0|1
anc00231|Floyd|||Samuel||||McCutchan|Sr.|||2018|0|0|0|0|0|1|0|1
anc00232|Floyd|||Edmund||||Watkins||||2018|0|0|0|0|0|1|0|1
anc00233|Harrison|||Jonathan||||Brandenburg||||2018|0|0|0|0|0|2|0|2
anc00234|Harrison|||Temple||Cole||Byrne||||2018|0|0|0|0|0|3|0|3
anc00235|Harrison|||Daniel||||Dean||||2018|0|0|0|0|0|3|0|3
anc00236|Harrison|||Nathaniel||||Dean||||2018|0|0|0|0|0|3|0|3
anc00237|Harrison|||Samuel||||Deaton||||2018|0|0|0|0|0|2|0|2
anc00238|Harrison|||Abraham||||Harmon||||2018|0|0|0|0|0|1|0|1
anc00239|Harrison|||Adam||||Kintner||||2018|0|0|0|0|0|3|0|3
anc00240|Harrison|||Alexander||||Mathes||||2018|0|0|0|0|0|1|0|1
anc00241|Harrison|||David||||Pitman||||2018|0|0|0|0|0|6|0|6
anc00242|Harrison|||Isaac||Edward||Pitman||||2018|0|0|0|0|0|1|0|1
anc00243|Harrison|||John||||Ripperdan||||2018|0|0|0|0|0|2|0|2
anc00244|Harrison|||Rebecca||Ann|Rosenbarger|Stonecipher||||2018|0|0|0|0|0|1|0|1
anc00245|Harrison|||John||||Stonecipher||||2018|0|0|0|0|0|2|0|2
anc00246|Harrison|||Augustine||||Windell|III|||2018|0|0|0|0|0|1|0|1
anc00247|Floyd|||Mary|||Crane|Woodruff||||2013|2|0|0|0|0|0|0|2
anc00248|Clark|||Rebecca|||Dowden|Jacobs||||2019|||||||3|3
anc00249|Harrison|||Parley||||Bliss||||2019|||||||1|1
anc00250|Harrison|||James||||Bliss||||2019|||||||1|1
anc00251|Clark|||John||||Crum||||2019|||||||2|2
anc00252|Harrison|||Robert||||Wright||||2019|||||||3|3
anc00253|Harrison|||John||Jasper||Simler||||2019|||||||1|1
anc00254|Clark|||Solomon||||Jacobs||||2019|||||||3|3
anc00255|Floyd|||James||H.||McCutcheon||||2019|||||||1|1
anc00256|Floyd|||William||Eldon||McCutcheon||||2019|||||||1|1
anc00257|Floyd|||George||Washington||McCutcheon||||2019|||||||1|1
anc00258|Harrison|||Henry||||Berkshire||||2019|||||||1|1
anc00259|Harrison|||John||||Berkshire||||2019|||||||1|1
anc00260|Harrison|||Elizabeth||||Berkshire||||2019|||||||1|1
anc00261|Harrison|||Robert||||Denbo||||2019|||||||2|2
anc00262|Harrison|||Jacob||||Hisley||||2019|||||||2|2
anc00263|Harrison|||John||||Allen||||2019|||||||1|1
anc00264|Harrison|||Jacob||||Conrad||||2019|||||||1|1
anc00265|Harrison|||Frederick||||Cotner||||2019|||||||3|3
anc00266|Harrison|||Ephraim||||Fleshman|Sr.|||2019|||||||1|1
anc00267|Harrison|||John||||Keller||||2019|||||||1|1
anc00268|Harrison|||Zachariah||||Kitterman||||2019|||||||2|2
anc00269|Harrison|||David||||Lingenfelter||||2019|||||||1|1
anc00270|Harrison|||James||M.||Sims||||2019|||||||1|1
anc00271|Harrison|||John||||Summers||||2019|||||||1|1
anc00272|Harrison|||Henry||||Faith||||2019|||||||1|1
anc00273|Harrison|||John||Cadet||LaDuke||||2019|||||||2|2
anc00274|Clark|||Samuel||||Lentz||||2019|||||||1|1
anc00275|Clark|||Catherine|||Shaefer|Lentz||||2019|||||||1|1
anc00276|Clark|||David||E.||Huckleberry||||2019|||||||1|1
anc00277|Clark|||Ann|||Martin|Huckleberry||||2019|||||||1|1
anc00278|Floyd|||Siltha||||Graves||||2019|||||||1|1
anc00279|Floyd|||Frederick||||Shannon||||2019|||||||1|1
anc00280|Floyd|||Maurice||||Morris||||2019|||||||1|1
anc00281|Floyd|||Christina|||Byerly|Collins||||2019|||||||1|1
anc00282|Harrison|||Nehemiah||||Keith||||2019|||||||1|1
anc00283|Floyd|||Joseph||S.||Summers|Sr.|||2019|||||||3|3
anc00284|Harrison|||Henry||Huff||Wolfe||||2019|||||||3|3
anc00285|Clark|||Mary||||Pinchback||||2019|||||||1|1
anc00286|Floyd|||Isaac||||Richards||||2019|||||||1|1
anc00287|Clark|||Emory||||Sylvester|||SYLVESTER, Margaret Ann (Scott)|2019|||||||1|1
anc00288|Clark|||Margaret||Ann|Scott|Sylvester|||SYLVESTER, Emory|2019|||||||1|1
anc00289|Clark|||James||Madison||Sylvester|||SYLVESTER, Mary 'Polly' (Howard)|2019|||||||1|1
anc00290|Clark|||Mary|Polly||Howard|Sylvester|||SYLVESTER, James Madison|2019|||||||1|1
anc00291|Harrison|||George||||Wright||||2019|||||||1|1
anc00292|Harrison|||Christian||||Eckart||||2019|||||||1|1
anc00293|Harrison|||Henry||Alexander||Batman||||2019|||||||1|1
